Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Application method (product.metafields.shopify.application-method),Bug type (product.metafields.shopify.bug-type),Chocolate type (product.metafields.shopify.chocolate-type),Color (product.metafields.shopify.color-pattern),Country (product.metafields.shopify.country),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary use (product.metafields.shopify.dietary-use),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Food product form (product.metafields.shopify.food-product-form),Ingredient category (product.metafields.shopify.ingredient-category),Ingredients (product.metafields.shopify.ingredients),Lubricant application (product.metafields.shopify.lubricant-application),Material (product.metafields.shopify.material),Pasta type (product.metafields.shopify.pasta-type),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tea input type (product.metafields.shopify.tea-input-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,image_url_go_upc,image_url_barcode_lookup
8.30E+11,"PUR   JG-Straw,Ban,Orng,20ct,10/tray","<p>PUR   JG-Straw,Ban,Orng,20ct,10/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12130040-10,3269,shopify,continue,manual,53.97,64.76,TRUE,TRUE,'830028002362,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,33.73,active,,
8.30E+11,"PUR   GB-Choco. Mint, 55ct, 12/tray","<p>PUR   GB-Choco. Mint, 55ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12120060-12,3269,shopify,continue,manual,64.61,77.53,TRUE,TRUE,'830028001495,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,40.38,active,,
8.30E+11,"PUR   GBL-Bubblegum, 9ct, 12/tray","<p>PUR   GBL-Bubblegum, 9ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12110030-12,3269,shopify,continue,manual,23.84,28.61,TRUE,TRUE,'830028001440,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,14.9,active,,
8.30E+11,"PUR   GBL-Wintergreen, 9ct, 12/tray","<p>PUR   GBL-Wintergreen, 9ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12110040-12,3269,shopify,continue,manual,23.84,28.61,TRUE,TRUE,'830028000993,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,14.9,active,,
8.30E+11,"PUR   GB-Wintergreen, 55ct, 12/tray","<p>PUR   GB-Wintergreen, 55ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12120040-12,3269,shopify,continue,manual,64.61,77.53,TRUE,TRUE,'830028000986,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,40.38,active,,
8.30E+11,"PUR   GBL-Peppermint, 9ct, 12/tray","<p>PUR   GBL-Peppermint, 9ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12110020-12,3269,shopify,continue,manual,23.84,28.61,TRUE,TRUE,'830028000962,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,14.9,active,,
8.30E+11,"PUR   GBL-Spearmint, 9ct, 12/tray","<p>PUR   GBL-Spearmint, 9ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12110010-12,3269,shopify,continue,manual,23.84,28.61,TRUE,TRUE,'830028000948,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,14.9,active,,
8.30E+11,"PUR   GBL-Cinnamon, 9ct, 12/tray","<p>PUR   GBL-Cinnamon, 9ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12110050-12,3269,shopify,continue,manual,23.84,28.61,TRUE,TRUE,'830028000894,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,14.9,active,,
8.30E+11,"PUR   GB-Cinnamon, 55ct, 12/tray","<p>PUR   GB-Cinnamon, 55ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12120050-12,3269,shopify,continue,manual,64.61,77.53,TRUE,TRUE,'830028000825,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,40.38,active,,
8.30E+11,"PUR   GB-Cool Mint, 55ct, 12/tray","<p>PUR   GB-Cool Mint, 55ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12120070-12,3269,shopify,continue,manual,64.61,77.53,TRUE,TRUE,'830028000764,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,40.38,active,,
8.30E+11,"PUR   GB-Spearmint, 55ct, 12/tray","<p>PUR   GB-Spearmint, 55ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12120010-12,3269,shopify,continue,manual,64.61,77.53,TRUE,TRUE,'830028000436,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,40.38,active,,
8.30E+11,"PUR   GB-Peppermint, 55ct, 12/tray","<p>PUR   GB-Peppermint, 55ct, 12/tray</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,12120020-12,3269,shopify,continue,manual,64.61,77.53,TRUE,TRUE,'830028000412,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,40.38,active,,
8.14E+11,"MORNING BRU   MorningBRU Instant Herbal Bev, 180g","<p>MORNING BRU   MorningBRU Instant Herbal Bev, 180g</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,83710050-180,3269,shopify,continue,manual,27.99,33.59,TRUE,TRUE,'813596008028,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,18.5,active,,
8.11E+11,"NELLIE'S *   Auto Dish Cubed, 16pk","<p>NELLIE'S *   Auto Dish Cubed, 16pk</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,15214506-16,3269,shopify,continue,manual,10.16,12.19,TRUE,TRUE,'810648002447,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,7.76,active,,
8.11E+11,"NELLIE'S *   Laundry Cubes, 16 Loads","<p>NELLIE'S *   Laundry Cubes, 16 Loads</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,15214400-16,3269,shopify,continue,manual,8.5,10.2,TRUE,TRUE,'810648002430,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,6.5,active,,
8.11E+11,NELLIE'S *   Forever Brush,<p>NELLIE'S *   Forever Brush</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,15214510-1,3269,shopify,continue,manual,11.01,13.21,TRUE,TRUE,'810648000726,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,8.7,active,,
6.88E+11,FUTURE IS BAMBOO   Cloud Brush 6/Box,<p>FUTURE IS BAMBOO   Cloud Brush 6/Box</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,18931011-6,3269,shopify,continue,manual,31.97,38.36,TRUE,TRUE,'687672000974,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,19.98,active,,
6.29E+11,REFRESH BOTANICALS   Fragrance Free Skin Hydrating Combo,<p>REFRESH BOTANICALS   Fragrance Free Skin Hydrating Combo</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,81980030-1,3269,shopify,continue,manual,42.54,51.05,TRUE,TRUE,'629124017901,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,26.59,active,,
6.29E+11,REFRESH BOTANICALS   Skin Brightening Combo,<p>REFRESH BOTANICALS   Skin Brightening Combo</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,81980070-1,3269,shopify,continue,manual,42.54,51.05,TRUE,TRUE,'629124017055,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,26.59,active,,
6.29E+11,"REFRESH BOTANICALS   Ultra Soothing & Hydrating Gel, 100ml","<p>REFRESH BOTANICALS   Ultra Soothing &amp; Hydrating Gel, 100ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,81970070-100,3269,shopify,continue,manual,14.8,17.76,TRUE,TRUE,'629124010605,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,9.25,active,,
6.29E+11,"REFRESH BOTANICALS   Argan Oil, 90ml","<p>REFRESH BOTANICALS   Argan Oil, 90ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,81940050-90,3269,shopify,continue,manual,24.91,29.89,TRUE,TRUE,'629124010582,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,15.57,active,,
6.29E+11,"REFRESH BOTANICALS   Rosehip Oil, 50ml","<p>REFRESH BOTANICALS   Rosehip Oil, 50ml</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,81940090-50,3269,shopify,continue,manual,24.91,29.89,TRUE,TRUE,'629124010575,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,15.57,active,,
6.29E+11,Iris + Arlo Inc.   Night Pads 10ct,<p>Iris + Arlo Inc.   Night Pads 10ct</p>,EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,13720050-10,3269,shopify,continue,manual,8.85,10.62,TRUE,TRUE,'628942539374,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5.53,active,,
6.29E+11,"Iris + Arlo Inc.   Pantyliners, reg 20ct","<p>Iris + Arlo Inc.   Pantyliners, reg 20ct</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,13720070-20,3269,shopify,continue,manual,7.28,8.74,TRUE,TRUE,'628942539367,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,4.55,active,,
6.29E+11,"Iris + Arlo Inc.   Daily Pads, reg 10ct","<p>Iris + Arlo Inc.   Daily Pads, reg 10ct</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,13720020-10,3269,shopify,continue,manual,8.32,9.98,TRUE,TRUE,'628942539343,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5.2,active,,
6.29E+11,"Iris + Arlo Inc.   Non-Applicator Tampons, reg 18ct","<p>Iris + Arlo Inc.   Non-Applicator Tampons, reg 18ct</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,13710030-18,3269,shopify,continue,manual,9.36,11.23,TRUE,TRUE,'628942539336,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5.85,active,,
6.29E+11,"Iris + Arlo Inc.   Non-Applicator Tampons, super 18ct","<p>Iris + Arlo Inc.   Non-Applicator Tampons, super 18ct</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,13710040-18,3269,shopify,continue,manual,9.36,11.23,TRUE,TRUE,'628942539329,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,5.85,active,,
6.29E+11,"Iris + Arlo Inc.   Applicator Tampons, super 14ct","<p>Iris + Arlo Inc.   Applicator Tampons, super 14ct</p>",EcoTrend Ecologics Ltd.,,,NewVersion-2025,TRUE,Title,Default Title,,,,,,,,13710020-14,3269,shopify,continue,manual,10.4,12.48,TRUE,TRUE,'628942539305,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,6.5,active,,
